Agency type,Agency,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfiting/
Forgery","Destruction/
Damage/
Vandalism
of Property",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud",Impersonation,"Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses",Pocketpicking,Purse snatching,"Shop 
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Pornography/
Obscene
Material","Prostitution
Offenses",Prostitution,"Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
,Texas City,57448,4112,1360,1842,910,1317,159,964,194,5,4,1,0,0,0,0,1,37,31,2,0,4,0,0,4,1,173,37,155,4,1,215,37,92,2,0,30,53,1,997,0,1,240,61,7,213,48,427,168,28,59,2,782,499,283,0,0,0,0,0,3,0,0,0,0,123
,The Colony,45671,2027,341,1495,191,311,52,251,8,1,1,0,0,0,0,0,7,22,15,0,6,1,0,0,1,0,54,12,140,0,1,166,13,64,1,0,1,84,3,1013,6,6,472,59,0,144,52,274,99,9,0,0,128,128,0,0,0,0,0,0,14,2,2,0,0,47
,Thorndale,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Three Rivers,1581,22,11,3,8,11,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1
,Tioga,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Todd Mission,128,14,1,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
,Tomball,14260,743,201,457,85,192,44,125,23,0,0,0,0,0,0,0,0,9,7,0,1,1,0,0,3,0,29,24,49,0,0,29,19,9,1,0,0,0,0,274,0,1,3,2,4,51,3,210,45,4,0,0,61,58,3,0,0,0,0,0,0,0,0,0,0,24
,Tom Bean,981,10,6,3,1,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Tool,2275,38,17,12,9,17,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,1
,Trophy Club,13772,198,48,90,60,46,2,40,4,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,5,5,11,0,0,20,4,7,0,0,0,9,0,43,0,0,0,1,0,14,3,25,5,0,0,0,55,25,30,0,0,0,0,0,2,0,0,0,0,3
,Tulia,4354,302,98,141,63,92,17,49,26,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,19,3,32,0,0,10,2,7,0,0,1,0,0,68,7,0,0,0,1,1,0,59,6,2,1,0,59,20,39,0,0,0,0,0,2,0,0,0,0,2
,Tye,1203,25,11,7,7,10,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1
,Tyler,110824,6959,1786,3629,1544,1648,344,1238,66,12,11,1,0,0,0,0,19,107,80,4,2,21,0,0,3,1,271,118,605,6,0,415,268,146,1,0,0,0,0,1929,0,13,483,14,1,410,13,995,211,41,29,0,1357,860,497,0,0,0,0,0,36,3,2,0,1,148
,Universal City,20112,1715,387,1063,265,360,28,237,95,0,0,0,0,0,0,0,1,26,20,1,0,5,0,0,0,0,91,24,215,1,0,120,50,33,3,0,2,30,2,455,0,4,140,6,2,134,14,155,91,14,52,2,238,82,156,0,0,0,0,0,1,3,2,0,1,21
,University Park,25080,439,40,349,50,37,3,34,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,147,5,30,0,1,21,13,5,0,0,0,1,2,117,1,0,24,5,0,15,6,66,25,3,0,0,44,21,23,0,0,0,0,0,2,0,0,0,0,4
,Uvalde,15538,964,296,561,107,269,36,204,29,0,0,0,0,0,0,0,7,20,9,2,0,9,0,0,1,0,81,28,111,0,0,61,18,34,2,0,3,4,0,234,0,2,25,23,0,45,3,136,42,3,0,5,79,75,4,0,0,0,0,0,1,0,0,0,0,22
,Valley Mills,1294,28,8,11,9,4,2,2,0,1,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,4,0,2,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0
,Van,2891,94,15,39,40,13,2,10,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,4,6,0,0,3,2,1,0,0,0,0,0,7,0,0,1,0,0,1,0,5,12,0,4,0,35,27,8,0,0,0,0,0,1,0,0,0,0,4
,Van Alstyne,7203,214,44,85,85,44,6,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,18,0,0,30,20,6,3,0,0,0,1,32,14,0,0,3,0,7,1,7,1,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,18
,Vega,861,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Venus,8228,228,74,57,97,66,16,49,1,0,0,0,0,0,0,0,0,8,0,3,0,5,0,0,0,0,5,3,8,0,0,5,0,2,0,1,0,2,0,31,0,0,4,1,0,13,2,11,5,0,0,1,86,48,38,0,0,0,0,0,0,0,0,0,0,10
,Vernon,9598,503,168,226,109,154,18,112,24,0,0,0,0,0,0,0,1,13,4,1,1,6,1,0,0,0,29,13,44,0,0,25,3,7,13,0,1,1,0,101,0,1,14,11,0,24,2,49,10,3,1,9,88,88,0,0,0,0,0,0,3,0,0,0,0,9
,Victoria,65298,4308,1120,2189,999,1052,180,771,101,7,5,2,0,0,0,0,8,53,37,5,1,10,0,0,4,0,223,65,370,0,0,261,127,131,2,0,1,0,0,1135,1,0,179,1,3,290,56,605,82,25,24,3,854,723,131,2,0,1,1,0,5,2,2,0,0,133
,Vidor,9642,273,87,144,42,77,16,42,19,0,0,0,0,0,0,0,1,9,8,0,0,1,0,0,0,0,30,2,19,0,0,15,8,7,0,0,0,0,0,55,1,0,3,4,0,2,1,44,20,3,0,1,31,30,1,0,0,0,0,0,2,0,0,0,0,8
,Waco,145741,9593,2919,5362,1312,2687,515,1953,219,15,12,3,0,3,3,0,52,162,100,22,0,40,0,0,15,0,509,178,841,0,3,334,302,10,4,0,11,6,1,2969,1,4,697,28,3,875,88,1273,414,98,1,1,1004,821,183,1,1,0,0,0,38,32,30,2,0,236
,Waelder,956,32,17,6,9,16,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2
,Wake Village,5794,144,43,73,28,43,5,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,13,0,0,13,7,5,0,0,0,1,0,27,0,0,0,1,1,7,1,17,2,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,6
,Waller,3364,146,28,99,19,25,5,19,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,21,3,15,1,0,5,0,3,0,0,0,2,0,32,0,1,7,2,0,5,5,12,10,1,11,0,12,12,0,0,0,0,0,0,0,0,0,0,0,7
,Wallis,1365,29,13,14,2,13,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,2,0,0,0,0,0,0,7,0,0,2,0,0,3,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,Watauga,22782,1038,187,473,378,167,20,133,14,0,0,0,0,0,0,0,1,19,13,2,0,4,0,0,1,1,41,21,75,1,0,49,28,16,5,0,0,0,0,236,1,0,43,11,0,55,10,116,43,5,0,3,331,203,128,0,0,0,0,0,2,1,1,0,0,41
,Waxahachie,47535,1963,435,1042,486,393,84,220,89,1,0,1,0,0,0,0,2,39,13,5,5,16,0,0,2,0,53,21,140,0,5,138,78,56,3,1,0,0,0,611,0,1,12,0,5,73,1,519,68,4,0,3,421,403,18,0,0,0,0,0,16,1,1,0,0,45
,Weatherford,39115,2027,480,950,597,425,49,282,94,0,0,0,0,0,0,0,9,46,23,4,0,19,0,0,2,0,49,39,110,1,2,197,70,35,0,0,1,90,1,481,0,0,7,6,0,34,1,433,61,7,1,4,445,340,105,0,0,0,0,0,104,8,8,0,0,36
,Webster,12045,1827,268,1094,465,256,43,186,27,0,0,0,0,0,0,0,0,12,1,1,3,7,0,0,0,0,78,23,100,2,1,101,26,31,0,0,4,40,0,563,4,0,177,5,1,150,109,117,177,8,41,2,417,230,187,0,0,0,0,0,1,1,1,0,0,44
,Weimar,2101,72,16,26,30,16,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,8,5,2,0,0,0,0,1,7,0,0,0,0,0,3,0,4,1,1,1,0,26,25,1,0,0,0,0,0,0,1,0,1,0,3
,Weslaco,43072,4269,1080,2494,695,1033,110,690,233,0,0,0,0,0,0,0,14,33,18,4,0,11,0,0,2,0,129,48,425,3,0,259,35,100,5,1,3,115,0,1494,1,1,733,106,5,207,37,404,97,35,2,10,629,563,66,0,0,0,0,0,25,2,1,1,0,29
,West,2586,33,13,19,1,12,4,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0,0,3,0,0,1,0,1,0,1,7,0,0,0,1,0,1,3,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,West Columbia,3579,170,42,103,25,41,5,27,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,12,1,16,0,0,4,1,0,0,0,0,3,0,59,0,0,0,0,0,8,0,51,5,3,1,0,20,19,1,0,0,0,0,0,0,0,0,0,0,5
,West Lake Hills,3166,150,16,116,18,16,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,0,3,1,1,1,0,0,0,0,82,0,0,16,2,0,27,2,35,9,0,2,0,18,10,8,0,0,0,0,0,0,0,0,0,0,0
,West Orange,3396,162,26,127,9,23,4,10,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,20,3,15,0,0,8,1,7,0,0,0,0,0,72,0,0,25,1,0,1,1,44,6,3,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2
,Westover Hills,639,25,1,14,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,8,2,0,0,0,0,3,0,3,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,4
,West University Place,14686,399,19,281,99,18,5,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,23,10,23,0,0,59,49,9,0,0,0,0,1,119,0,0,0,2,0,48,1,68,25,6,15,0,78,11,67,0,0,0,0,0,0,0,0,0,0,21
,Westworth,2658,346,45,192,109,44,14,21,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,6,24,0,0,26,12,13,1,0,0,0,0,116,1,0,67,5,0,5,0,38,3,2,0,0,99,50,49,0,0,0,0,0,0,0,0,0,0,10
,Wharton,8792,540,146,309,85,142,28,112,2,0,0,0,0,0,0,0,0,4,0,2,0,1,1,0,0,0,30,3,61,0,0,36,9,12,1,2,4,8,0,150,0,1,29,2,2,39,1,76,16,12,1,1,77,61,16,0,0,0,0,0,0,0,0,0,0,7
,Whitehouse,9609,161,40,96,25,30,4,23,3,0,0,0,0,1,0,1,1,8,6,2,0,0,0,0,0,0,7,6,15,0,0,24,10,10,1,0,2,1,0,40,0,0,0,3,0,13,0,24,3,1,0,1,22,22,0,0,0,0,0,0,1,0,0,0,0,1
,White Oak,6233,141,53,77,11,50,4,45,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,8,5,10,2,1,7,1,3,0,0,1,2,0,38,0,0,5,7,0,14,1,11,5,1,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,3
,Whitesboro,4396,67,28,22,17,27,3,12,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0,4,2,1,0,0,0,1,0,9,0,0,3,0,0,0,0,6,3,1,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,3
,White Settlement,17949,901,234,556,111,210,88,105,17,0,0,0,0,0,0,0,0,24,18,1,1,4,0,0,1,0,71,14,114,1,0,60,30,23,2,0,0,5,0,231,20,0,35,6,2,66,8,94,52,9,3,0,87,80,7,0,0,0,0,0,6,0,0,0,0,18
,Whitewright,1856,31,10,14,7,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,1,0,1,0,0,0,0,6,0,0,1,0,0,0,1,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1
,Whitney,2096,100,29,62,9,27,3,22,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,4,17,0,0,3,0,2,0,0,0,1,0,27,0,0,1,0,0,15,0,11,4,0,2,1,7,4,3,0,0,0,0,0,1,0,0,0,0,0
,Wichita Falls,102740,7118,2416,4041,661,2257,342,1297,618,7,4,3,0,0,0,0,13,139,69,22,9,38,1,0,2,0,438,169,383,40,28,730,256,291,2,0,17,155,9,1953,3,16,499,379,12,354,66,624,210,63,25,9,503,476,27,1,0,1,0,0,11,2,0,0,2,135
,Willis,7201,451,150,277,24,136,28,89,19,1,1,0,0,0,0,0,1,12,9,1,0,2,0,0,0,0,33,5,51,0,0,16,6,6,1,0,1,2,0,151,0,1,36,8,0,22,3,81,18,1,2,3,14,12,2,0,0,0,0,0,1,0,0,0,0,6
,Willow Park,6023,263,47,106,110,45,9,27,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,10,14,0,0,14,2,4,8,0,0,0,0,51,1,0,7,8,0,5,3,27,9,0,1,0,93,62,31,0,0,0,0,0,0,0,0,0,0,17
,Wills Point,4023,97,35,45,17,32,9,23,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,5,4,0,0,1,1,0,0,0,0,0,0,18,0,0,2,0,0,3,0,13,4,1,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,3
,Wilmer,6169,257,51,186,20,45,14,31,0,1,0,1,0,0,0,0,0,5,3,1,0,1,0,0,1,0,10,5,37,0,0,9,0,9,0,0,0,0,0,100,0,0,0,5,0,27,13,55,20,0,4,0,13,13,0,0,0,0,0,0,0,0,0,0,0,7
,Windcrest,5766,1205,93,682,430,90,8,68,14,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,1,22,34,85,0,0,82,27,31,24,0,0,0,0,393,0,0,180,0,0,72,10,131,56,8,0,3,398,225,173,0,0,0,0,0,0,0,0,0,0,29
,Wink,837,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Winnsboro,3611,121,26,39,56,20,4,15,1,0,0,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,11,4,6,0,0,6,0,2,0,0,2,2,0,7,0,0,1,0,0,1,0,5,1,0,4,0,51,51,0,0,0,0,0,0,0,0,0,0,0,5
,Winters,2318,38,7,13,18,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,8,0,0,0,1,16,16,0,0,0,0,0,0,0,0,0,0,0,1
,Wolfforth,7135,182,57,61,64,56,9,40,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,5,15,0,0,4,4,0,0,0,0,0,0,22,0,0,4,2,1,1,1,13,6,2,0,0,52,51,1,0,0,0,0,0,0,0,0,0,0,12
,Woodbranch,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Woodsboro,1245,20,7,8,5,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1
,Woodville,2420,54,8,29,17,8,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,4,0,2,0,0,0,2,0,14,0,0,0,1,0,2,0,11,4,0,0,0,14,10,4,0,0,0,0,0,0,0,0,0,0,3
,Wortham,1017,42,6,22,14,4,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,2,0,0,3,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,6,3,0,0,2,8,8,0,0,0,0,0,0,1,0,0,0,0,3
,Wylie,62539,1227,388,657,182,367,24,296,47,0,0,0,0,0,0,0,0,21,14,2,2,3,0,0,0,0,36,9,78,5,0,94,26,32,1,0,3,31,1,401,0,0,216,39,3,66,19,58,29,5,0,0,153,89,64,0,0,0,0,0,8,1,1,0,0,20
,Yoakum,5885,92,27,48,17,24,0,18,6,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,12,2,7,0,0,6,3,2,1,0,0,0,0,15,1,0,0,2,0,0,1,11,5,1,0,0,17,16,1,0,0,0,0,0,0,0,0,0,0,0
,Zavalla,610,36,8,19,9,7,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,1,0,0,0,0,11,0,0,2,1,1,0,0,7,0,0,1,0,8,7,1,0,0,0,0,0,0,0,0,0,0,1
