city,land area,land,INTPTLAT,INTPTLONG
Fredericksburg,9.556,24749585,30.26568,-98.875676
Freeport,15.398,39881010,28.943296,-95.35607
Freer,4.123,10679285,27.882178,-98.617385
Fresno,8.529,22090617,29.537522,-95.468665
Friendswood,20.613,53386158,29.507701,-95.200635
Friona,1.406,3641711,34.639434,-102.723118
Frisco,68.587,177640615,33.155427,-96.822596
Fritch,1.622,4201680,35.643066,-101.596432
Fronton,0.418,1082261,26.425525,-99.07607
Fronton Ranchettes,0.072,187473,26.425267,-99.026933
Frost,1.131,2929860,32.079251,-96.808597
Fruitvale,1.894,4905417,32.6842,-95.803734
Fulshear,12.924,33473861,29.692426,-95.886647
Fulton,1.406,3641108,28.072445,-97.038927
Gail,2.012,5210250,32.767314,-101.455827
Gainesville,19.303,49995395,33.638647,-97.148413
Galena Park,4.804,12441880,29.745165,-95.234576
Gallatin,4.604,11924083,31.896854,-95.152062
Galveston,41.036,106283777,29.186328,-94.965758
Ganado,1.165,3016833,29.041704,-96.511029
Garceno,0.229,591964,26.412263,-98.940511
Garciasville,0.047,122166,26.319777,-98.699621
Garden,1.769,4580788,31.872766,-101.488384
Gardendale,11.469,29704854,32.013458,-102.359617
Garden Ridge,7.14,18493481,29.636465,-98.292472
Garfield,11.982,31033310,30.203319,-97.561411
Garland,56.857,147259437,32.909826,-96.630334
Garner,3.469,8985336,32.827019,-97.984788
Garrett,1.781,4613622,32.374072,-96.65252
Garrison,1.174,3040337,31.826034,-94.493774
Garwood,5.429,14060830,29.441463,-96.413409
Gary,1.898,4916655,32.027728,-94.3679
Garza-SalinasII,0.079,205372,26.351774,-98.759539
Gatesville,10.655,27597595,31.438667,-97.746027
Gause,1.022,2647466,30.787364,-96.722319
George,58.147,150599414,30.668136,-97.698744
George West,1.938,5019549,28.33,-98.118304
Geronimo,7.989,20692436,29.672832,-97.968647
Gholson,8.362,21658217,31.705571,-97.238008
Giddings,5.277,13666417,30.183667,-96.928029
Gilmer,3.79,9816734,32.732275,-94.945776
Girard,1.451,3759285,33.3635,-100.659691
Gladewater,11.567,29957512,32.542547,-94.947137
Glazier,1.284,3324828,36.013681,-100.270188
Glenn Heights,7.272,18834083,32.5513,-96.854388
GlenRose,4.002,10364937,32.246824,-97.748052
Glidden,0.995,2576260,29.697296,-96.587452
Godley,3.867,10015286,32.458882,-97.532908
Goldsmith,0.324,838862,31.983325,-102.616381
Goldthwaite,2.019,5229481,31.450806,-98.57352
Goliad,1.565,4054148,28.671131,-97.392595
Golinda,4.167,10793639,31.367886,-97.071091
Gonzales,6.08,15748329,29.512549,-97.447205
Goodlow,1.023,2649384,32.108424,-96.215601
Goodrich,0.705,1825606,30.609276,-94.946624
Gordon,0.97,2511284,32.545546,-98.367183
Goree,1.45,3754946,33.467965,-99.523621
Gorman,1.643,4255988,32.213538,-98.672077
Graford,0.718,1860492,32.937415,-98.247505
Graham,5.597,14496211,33.100881,-98.577806
Granbury,17.229,44622261,32.432805,-97.775149
Grandfalls,0.54,1398271,31.340494,-102.854463
Grand Prairie,72.422,187572165,32.686108,-97.020804
Grand Saline,2.097,5430016,32.678138,-95.711613
Grandview,1.976,5116915,32.268383,-97.178948
Granger,0.667,1727158,30.718294,-97.441141
Grangerland,1.69,4377266,30.253868,-95.33012
Granite Shoals,7.065,18297752,30.588757,-98.367316
Granjeno,0.304,786192,26.137061,-98.303355
Grape Creek,15.657,40552654,31.581676,-100.54737
Grapeland,2.578,6675900,31.493976,-95.47753
Grapevine,32.162,83299265,32.934969,-97.075912
Grays Prairievillage,1.224,3169940,32.47342,-96.350229
Green Valley Farms,3.857,9990149,26.120698,-97.564797
Greenville,32.287,83622735,33.111939,-96.110256
Gregory,1.525,3950285,27.923239,-97.290924
Grey Forest,0.727,1883469,29.615672,-98.68325
Groesbeck,4.342,11246912,31.525623,-96.528061
Groom,0.744,1927510,35.207651,-101.105533
Groves,5.213,13502438,29.945971,-93.916656
Groveton,2.583,6691154,31.057019,-95.12637
Gruver,1.101,2852696,36.260494,-101.407122
Guadalupe Guerra,0.015,38053,26.410816,-99.081881
Guerra,0.209,540666,26.882582,-98.894882
GunBarrel,6.254,16196863,32.328248,-96.131762
Gunter,19.417,50290505,33.416309,-96.820799
Gustine,0.915,2370798,31.845689,-98.402529
Guthrie,1.779,4607602,33.622594,-100.328433
Gutierrez,0.052,133406,26.340527,-98.63289
Hackberry,0.679,1758470,33.149748,-96.918313
HaleCenter,1.437,3720728,34.066107,-101.84626
Hallettsville,2.735,7083329,29.4431,-96.943548
Hallsburg,2.717,7036120,31.536296,-96.945694
Hallsville,3.992,10338286,32.499328,-94.567896
Haltom,12.351,31988456,32.817698,-97.271152
Hamilton,3.467,8978980,31.700387,-98.119669
Hamlin,5.287,13694065,32.889987,-100.1325
Hamshire,2.975,7705810,29.854808,-94.320712
Happy,1.061,2748251,34.741581,-101.857144
Hardin,2.592,6713592,30.149233,-94.737749
Harding Gill Tract,1.096,2838555,26.428363,-98.015374
Hargill,0.855,2214186,26.442289,-98.014559
HarkerHeights,15.624,40466261,31.056708,-97.644221
Harlingen,40.268,104294117,26.191204,-97.697383
Harper,56.573,146522631,30.2661,-99.272607
Harrold,4.052,10495538,34.06757,-99.033091
Hart,0.738,1911988,34.385754,-102.114988
Hartley,6.968,18046887,35.898194,-102.396562
Harwood,0.537,1389984,29.666569,-97.501292
Haskell,3.598,9318043,33.159775,-99.732032
Haslet,8.99,23283440,32.966518,-97.337825
Havana,0.81,2097524,26.25219,-98.510974
HawkCove,0.368,952587,32.883973,-96.083273
Hawkins,2.206,5712517,32.591384,-95.203306
Hawley,2.93,7588852,32.606696,-99.810163
Hays,0.223,577896,30.121506,-97.872411
H.Cuellar Estates,0.014,35616,26.561135,-99.125787
Hearne,4.12,10671420,30.877062,-96.595217
Heartland,3.331,8626314,32.67216,-96.455762
Heath,12.36,32011517,32.853507,-96.463641
Hebbronville,6.481,16784576,27.324984,-98.685665
Hebron,0.268,694606,33.046186,-96.887136
Hedley,0.715,1851085,34.867384,-100.65905
Hedwig Village,0.954,2470852,29.779867,-95.519203
Heidelberg,2.641,6838880,26.182783,-97.885899
Helotes,6.929,17946631,29.57797,-98.68054
Hemphill,2.539,6575470,31.3433,-93.851913
Hempstead,6.563,16996865,30.100601,-96.07773
Henderson,11.994,31063436,32.157256,-94.795898
Henrietta,5.106,13224292,33.814307,-98.192773
Hereford,6.324,16378837,34.822603,-102.400159
Hermleigh,9.05,23438737,32.640775,-100.750485
Hewitt,6.887,17838223,31.451248,-97.193315
Hickory Creek,4.896,12679820,33.110852,-97.034729
Hico,1.824,4723705,31.98511,-98.028405
Hidalgo,8.347,21619918,26.108943,-98.24616
Hideaway,2.066,5349929,32.494654,-95.45651
Higgins,1.109,2871996,36.120995,-100.027432
Highland Haven,0.441,1142850,30.607149,-98.39522
Highland Park,2.243,5809596,32.831056,-96.801235
Highlands,4.881,12642752,29.812869,-95.057826
Highland Village,5.532,14326894,33.089749,-97.061504
HillCountry Village,2.192,5676489,29.581999,-98.485663
Hillcrest Village,0.44,1138460,29.392079,-95.2226
Hillsboro,10.983,28446341,32.007831,-97.115652
Hillside Acres,0.237,613838,27.676165,-99.177706
Hilltop,1.255,3250065,28.693843,-99.176148
Hilltop,0.049,127485,26.403982,-98.920659
Hilltop Lakes,8.534,22102821,31.063558,-96.190463
Hilshire Village,0.267,692682,29.790851,-95.488501
Hitchcock,60.432,156518866,29.28262,-95.007631
Holiday Beach,1.611,4172900,28.167125,-97.008001
Holiday Lakes,0.88,2278236,29.207176,-95.515335
Holland,1.645,4259321,30.88826,-97.401361
Holliday,2.499,6471870,33.814294,-98.689589
Holly Lake Ranch,8.675,22467601,32.713177,-95.199372
Hollywood Park,1.446,3745057,29.599214,-98.485542
Homestead Meadows North,15.588,40373273,31.848326,-106.170686
Homestead Meadows South,3.665,9491744,31.811024,-106.164259
Hondo,10.049,26025534,29.354242,-99.161846
Honey Grove,2.983,7724850,33.588095,-95.908622
Hooks,2.086,5401498,33.470695,-94.286542
Horizon,8.714,22569389,31.679648,-106.191055
Horns byB end,9.399,24344186,30.239894,-97.590177
Horseshoe Bay,14.326,37104663,30.540758,-98.38057
Horseshoe Bend,1.648,4267037,32.578992,-97.88516
Houston,640.752,1659540891,29.785743,-95.388806
Howardwick,2.025,5245380,35.034812,-100.907847
Howe,4.99,12922747,33.507477,-96.615543
Hubbard,1.956,5065781,31.846821,-96.799998
Huckabay,3.353,8683523,32.348866,-98.291762
Hudson,5.07,13130338,31.319158,-94.784737
Hudson Bend,3.988,10328413,30.414655,-97.927341
Hudson Oaks,3.163,8193259,32.750963,-97.700414
Hughes Springs,2.493,6456732,32.99874,-94.63105
Hull,1.994,5163861,30.147165,-94.642634
Humble,9.912,25672649,29.988207,-95.264356
Hungerford,1.835,4753397,29.406704,-96.090529
Hunters Creek Village,1.955,5063560,29.772691,-95.498079
Huntington,2.747,7115275,31.280311,-94.576566
Huntsville,41.778,108205731,30.700542,-95.55489
Hurst,9.964,25806444,32.836643,-97.180627
Hutchins,9.107,23587190,32.643392,-96.709833
Hutto,14.789,38302265,30.541624,-97.544249
Huxley,2.038,5279414,31.730933,-93.873259
Iago,1.897,4914448,29.271222,-95.961795
Idalou,1.01,2616014,33.6624,-101.683697
Iglesia Antigua,2.106,5454768,26.085008,-97.832034
Impact,0.087,225084,32.500177,-99.746526
Imperial,4.222,10933696,31.266844,-102.694651
Indian Hills,2.435,6307265,26.211121,-97.919097
Indian Lake,0.23,596504,26.087729,-97.503116
Indian Springs,1.823,4722814,30.687609,-94.746229
Indio,0.286,742017,26.548877,-99.095866
Industry,1.067,2762602,29.967368,-96.497089
Inez,59.591,154341079,28.876334,-96.790882
Ingleside,16.898,43766537,27.870608,-97.207906
Inglesideonthe Bay,0.292,757560,27.829833,-97.221324
Ingram,1.467,3800595,30.077052,-99.237509
Iola,1.031,2670568,30.772645,-96.077628
Iowa Colony village,11.071,28672482,29.441093,-95.423754
Iowa Park,4.266,11047680,33.962773,-98.680872
Iraan,0.617,1597482,30.912901,-101.900075
Iredell,0.449,1162309,31.986036,-97.871676
Irving,66.979,173475846,32.857748,-96.970022
Italy,2.005,5193072,32.186464,-96.885789
Itasca,1.24,3212643,32.158674,-97.147947
Ivanhoe,3.183,8243038,30.679601,-94.414021
Jacinto,1.853,4800533,29.766377,-95.241218
Jacksboro,7.227,18717464,33.225763,-98.159169
Jacksonville,15.147,39230962,31.959514,-95.265705
Jamaica Beach,0.581,1504389,29.190364,-94.979307
Jardinde San Julian,0.016,40326,26.525375,-99.099851
Jarrell,3.657,9470665,30.810264,-97.615122
Jasper,10.446,27055953,30.922681,-93.993251
Jayton,1.697,4394635,33.25018,-100.574868
Jefferson,4.448,11519941,32.763494,-94.350835
Jersey Village,3.476,9002238,29.892927,-95.577225
Jewett,2.049,5307944,31.362606,-96.145544
J.F. Villareal,0.016,41430,26.419911,-98.97883
Joaquin,2.306,5972637,31.965579,-94.048368
Johnson,1.951,5053762,30.272097,-98.407126
Jolly,0.983,2545266,33.875289,-98.349168
Jones Creek village,2.526,6541451,28.974996,-95.468505
Jones,6.528,16906824,30.481656,-97.931974
Josephine,2.002,5185360,33.063107,-96.316643
Joshua,8.935,23141943,32.459091,-97.383816
Jourdanton,3.637,9419024,28.914045,-98.540806
Juarez,0.2,518714,26.200879,-97.729609
Junction,2.3,5956426,30.490759,-99.773222
Justin,4.546,11772912,33.081837,-97.314234
Karnes,2.321,6012564,28.88541,-97.900505
Katy,15.294,39610195,29.790915,-95.840711
Kaufman,9.744,25235864,32.577249,-96.313715
K-Bar Ranch,3.368,8722626,27.992824,-97.926747
Keene,5.216,13508356,32.396131,-97.323489
Keller,18.355,47538600,32.932877,-97.224513
Kemah,1.834,4749427,29.528647,-95.020043
Kemp,2.22,5749007,32.437379,-96.226017
Kempner,2.054,5319541,31.075496,-97.972729
Kendleton,1.099,2846893,29.443784,-96.006567
Kenedy,4.413,11429131,28.808801,-97.853732
Kenefick,1.55,4015044,30.102854,-94.841557
Kennard,1.297,3360095,31.357503,-95.18537
Kennedale,6.609,17117503,32.643979,-97.217173
Kerens,2.501,6477732,32.131157,-96.2257
Kermit,2.533,6560262,31.853923,-103.092395
Kerrville,22.925,59374964,30.038317,-99.131069
Kilgore,18.613,48206642,32.396669,-94.860013
Killeen,54.628,141486029,31.077669,-97.731952
Kingsbury,2.576,6671410,29.65001,-97.818585
Kingsland,9.045,23427629,30.666141,-98.454026
Kingsville,13.883,35956750,27.509201,-97.861028
Kirby,2,5180241,29.461744,-98.385326
Kirbyville,2.417,6259017,30.658199,-93.90007
Kirvin,0.401,1038560,31.767096,-96.330018
Knippa,5.114,13245689,29.303817,-99.630829
Knollwood,0.325,841459,33.689274,-96.618475
Knox,0.833,2158013,33.417574,-99.815703
Kopperl,0.541,1400549,32.069856,-97.499032
Kosse,1.29,3340650,31.307383,-96.629361
Kountze,3.978,10303394,30.372545,-94.315661
Kress,0.557,1441489,34.365819,-101.748428
Krugerville,1.59,4116863,33.277547,-96.989786
Krum,3,7769901,33.265033,-97.224939
Kurten,4.553,11791577,30.790042,-96.276128
Kyle,32.515,84213779,29.994118,-97.883322
La Blanca,4.133,10705400,26.304793,-98.028601
La Carla,0.072,185498,26.435385,-98.740592
La Casita,0.062,161129,26.337059,-98.733968
La Chuparosa,0.01,26131,26.403708,-98.926801
Lackland AFB,4.235,10968263,29.38663,-98.617887
La Coma,1.218,3154881,27.499068,-99.303516
La Coma Heights,0.981,2540675,26.439307,-98.074724
La Coste,0.631,1633632,29.309977,-98.8111
Lacy-Lakeview,4.353,11275140,31.631213,-97.105078
Ladonia,1.991,5156091,33.428376,-95.948222
La Escondida,0.058,150517,26.38065,-98.873728
La Esperanza,0.028,73413,26.431314,-98.892272
La Feria,4.392,11374279,26.155307,-97.825027
La Feria North,1.143,2960165,26.178865,-97.822195
Lago,0.047,121262,26.087561,-97.612745
Lago Vista,0.441,1141910,26.564322,-99.107767
LagoV ista,14.441,37400899,30.452623,-97.991019
La Grange,4.136,10711844,29.912609,-96.876296
La Grulla,0.937,2425585,26.271272,-98.648631
Laguna Heights,0.161,415802,26.080819,-97.259307
Laguna Park,2.995,7757624,31.864263,-97.383351
Laguna Seca,2.273,5886968,26.279303,-97.926182
Laguna Vista,4.827,12501221,26.105907,-97.296336
La Homa,6.313,16350271,26.279645,-98.357457
La Joya,4.205,10891264,26.25786,-98.47642
Lake Bridgeport,0.467,1208500,33.207279,-97.830988
Lake Brownwood,5.682,14717086,31.816907,-99.105918
Lake Bryan,7.563,19588502,30.714261,-96.469319
Lake Cherokee,12.287,31822519,32.360187,-94.650123
Lake,0.729,1887335,28.083099,-97.88261
Lake Colorado,7.758,20093955,32.346475,-100.937518
Lake Dallas,2.428,6287614,33.127781,-97.022786
Lake Dunlap,1.5,3885593,29.665313,-98.08156
Lakehills,30.31,78503125,29.627062,-98.942618
Lake Jackson,19.735,51113743,29.050864,-95.45123
LakeKiowa,2.986,7733087,33.570714,-97.013064
Lake Medina Shores,3.092,8008002,29.637995,-98.991497
Lake Meredith Estates,0.841,2178965,35.663907,-101.602725
Lakeport,1.589,4115436,32.405054,-94.710171
Lakeshore Gardens-HiddenAcres,2.04,5284778,28.126974,-97.869793
Lakeside,0.382,989973,28.103079,-97.861124
Lakeside,1.745,4519972,32.820836,-97.479431
Lakeside,0.635,1644001,33.829213,-98.540275
Lake Tanglewood village,1.124,2910866,35.056001,-101.781907
Lakeview,0.206,534794,34.672765,-100.697219
Lake View,0.508,1315351,29.45908,-100.953361
Lakeway,12.872,33338696,30.354982,-97.986269
Lakewood Village,0.796,2061625,33.136069,-96.976542
LakeWorth,2.464,6382875,32.812972,-97.430548
LaLomade Falcon,0.086,221948,26.536833,-99.095959
Lamar,3.061,7928698,28.14034,-96.987818
La Marque,13.762,35642145,29.369797,-94.99419
Lamesa,5.107,13228239,32.733338,-101.953773
LaMinita,0.524,1357956,26.502256,-99.073505
Lamkin,0.676,1750705,31.824189,-98.261976
La Moca Ranch,15.047,38970590,27.903209,-99.510497
Lampasas,7.39,19140979,31.064037,-98.182783
Lancaster,33.065,85639038,32.596203,-96.773789
Lantana,2.326,6024213,33.093446,-97.11904
La Paloma,2.154,5578470,26.051962,-97.655253
La Paloma Addition,0.701,1815260,28.017002,-97.500943
La Paloma-LostC reek,8.408,21777648,27.71954,-97.739204
La Paloma Ranchettes,0.47,1216468,26.314792,-98.623017
La Porte,18.604,48182900,29.667413,-95.049139
La Presa,0.498,1290941,27.399507,-99.432496
La Pryor,2.669,6913586,28.949057,-99.847918
La Puerta,0.316,818468,26.346828,-98.750552
Laredo,109.093,282548899,27.560379,-99.489181
LaredoRanchettes,0.551,1427789,27.491353,-99.359782
Laredo Ranchettes West,0.072,187755,27.490038,-99.370143
LaRosita,0.069,177463,26.401682,-98.9321
Lasana,0.821,2126076,26.259613,-97.693364
Lasara,1.445,3741757,26.463789,-97.908713
Las Haciendas,0.236,612482,27.631483,-99.19873
Las Lomas,0.393,1018261,26.363831,-98.774649
Las Lomitas,3.95,10230034,27.337838,-98.66289
Las Palmas,0.068,175736,26.951633,-99.276013
Las PalmasII,0.31,802956,26.201707,-97.737588
Las Pilas,0.833,2158350,27.681463,-99.183235
Las Quintas Fronterizas,0.525,1360309,28.690208,-100.468309
Latexo,0.982,2542301,31.391431,-95.47523
La Tina Ranch,7.032,18211873,26.200739,-97.481023
Laughlin AFB,6.373,16504799,29.358463,-100.776883
Laureles,4.8,12432544,26.119704,-97.48918
La Vernia,2.389,6188758,29.353106,-98.125777
La Victoria,0.305,789137,26.347791,-98.629488
La Villa,0.596,1544697,26.296308,-97.926912
Lavon,4.287,11104301,33.023862,-96.433029
LaWard,0.812,2102814,28.846442,-96.464876
Lawn,0.597,1544992,32.13657,-99.750099
League,51.36,133022230,29.490064,-95.109093
Leakey,0.565,1462236,29.725365,-99.763068
Leander,38.802,100496417,30.574273,-97.861741
Leary,1.27,3288163,33.467033,-94.211269
Lefors,0.39,1009111,35.439601,-100.803889
Lelia Lake,0.889,2302509,34.902001,-100.766196
Leming,4.828,12504593,29.068341,-98.472227
Leona,2.223,5757846,31.153708,-95.975988
Leonard,2.289,5928399,33.383176,-96.246466
Leon Valley,3.468,8980867,29.495375,-98.6143
Leroy,1.847,4783989,31.732358,-97.021707
Levelland,10.207,26436484,33.581547,-102.364117
Lewisville,40.657,105299973,33.050725,-96.974623
Lexington,1.336,3461339,30.414295,-97.009944
Liberty,44.521,115307823,30.038834,-94.788803
Liberty,6.091,15775562,32.451796,-94.942976
Liberty Hill,4.634,12001085,30.663377,-97.905506
Lindale,6.184,16017097,32.494132,-95.407344
Linden,3.53,9143617,33.010954,-94.362628
Lindsay,1.631,4224199,33.642308,-97.219725
Lindsay,0.901,2334506,31.36886,-103.538441
Lingleville,1.017,2634847,32.243196,-98.376735
Linn,48.574,125805622,26.563336,-98.128867
Lipan,1.061,2747880,32.518651,-98.047055
Lipscomb,3.752,9718061,36.221491,-100.262107
Little Cypress,3.796,9832809,30.178084,-93.755286
Little Elm,18.518,47961801,33.192497,-96.919975
Littlefield,6.283,16272765,33.919183,-102.334804
LittleRiver-Academy,1.911,4948518,30.978753,-97.346981
Live SOak,4.757,12319773,29.555395,-98.340042
Liverpool,1.094,2834078,29.301801,-95.274513
Livingston,8.73,22609328,30.710043,-94.93793
Llano,5.296,13717239,30.751007,-98.676524
Llano Grande,1.585,4106229,26.130835,-97.968447
Lockett,3.003,7778364,34.082573,-99.373821
Lockhart,16.224,42019990,29.877809,-97.682622
Lockney,1.548,4009869,34.123054,-101.442472
Log Cabin,1.047,2710790,32.223486,-96.022352
Lolita,2.568,6651030,28.832483,-96.538783
Loma Grande,0.068,176493,28.722077,-99.832709
Loma Linda,1.253,3244908,28.007011,-97.499402
LomaLinda East,5.144,13322140,27.766337,-98.194226
LomaLinda East,0.038,98417,26.32813,-98.689413
LomaLinda West,0.122,316565,26.420471,-98.930372
Loma Vista,0.013,34124,26.416872,-98.981412
Lometa,0.84,2174931,31.216622,-98.392426
Lone Oak,1.111,2876446,32.996103,-95.940658
Lone Star,1.978,5124068,32.93997,-94.709073
Longoria,0.017,43398,26.30238,-98.642489
Longview,56.227,145628104,32.520234,-94.761114
Loop,3.542,9174741,32.914189,-102.414709
Lopeño,0.817,2116603,26.711834,-99.100966
Lopezville,0.77,1994111,26.245241,-98.153746
Loraine,1.039,2691522,32.408651,-100.712515
Lorena,3.852,9975979,31.383111,-97.210204
Lorenzo,0.954,2470780,33.67034,-101.536078
Los Altos,0.038,98499,27.490491,-99.385823
Los Alvarez,0.094,244485,26.385936,-98.899036
Los Angeles,0.151,390245,26.494764,-97.786319
Los Arcos,0.206,534198,27.614419,-99.210488
Los Arrieros,0.034,88846,26.515769,-99.08452
Los Barreras,0.229,593091,26.391164,-98.918353
Los Centenarios,0.188,487244,27.61226,-99.212988
Los Corralitos,0.035,91753,27.641193,-99.557476
Los Ebanos,0.595,1540279,26.239671,-98.552191
Los Ebanos,0.03,78129,26.411313,-98.918581
Los Fresnos,4.391,11373107,26.074062,-97.488017
Los Fresnos,0.181,468338,27.616942,-99.207979
Los Huisaches,0.452,1170630,27.907028,-99.475803
Los Indios,1.875,4857059,26.049927,-97.734811
Los Lobos,0.142,367773,26.606536,-99.161264
Los Minerales,1.063,2754332,27.655494,-99.61788
Los Nopalitos,0.148,383803,27.619521,-99.205609
Lost Creek,1.998,5174053,30.302237,-97.849781
Los VeteranosI,0.394,1019707,27.633353,-99.218551
Los VeteranosII,0.159,412355,27.771135,-99.443309
Los Ybanez,0.083,215759,32.719195,-101.917507
Lott,1.01,2616396,31.206257,-97.033576
Louise,6.684,17311565,29.113136,-96.412397
Lovelady,1.321,3421104,31.128172,-95.445877
Loving,1.971,5106143,33.257815,-98.521927
Lowry Crossing,2.593,6716841,33.169279,-96.544985
Lozano,0.118,306502,26.18959,-97.54373
Lubbock,143.189,370857949,33.561901,-101.888883
Lucas,15.601,40406346,33.101031,-96.581182
Lueders,0.59,1527146,32.800432,-99.623217
Lufkin,34.208,88597937,31.322904,-94.729026
Luling,5.51,14271971,29.681747,-97.646696
Lumberton,13.41,34731857,30.254992,-94.207963
Lyford,1.75,4533398,26.414597,-97.789266
Lyons,2.957,7657432,30.40879,-96.539232
Lytle,4.765,12342270,29.234619,-98.793675
Mabank,8.731,22614196,32.371862,-96.109504
McAllen,62.369,161534638,26.224966,-98.246083
McCamey,2.025,5245838,31.132464,-102.22004
McCaulley,0.869,2251782,32.779341,-100.206747
McDade,4.09,10593612,30.278932,-97.252375
Macdona,1.554,4026011,29.320775,-98.699717
McGregor,22.627,58604782,31.419669,-97.426341
McKinney,68.362,177058041,33.201125,-96.664161
McKinney Acres,1.646,4262270,32.296334,-102.52978
McLean,1.158,2999766,35.232339,-100.600107
McLendon-Chisholm,12.576,32570523,32.847107,-96.391219
McLeod,2.737,7088259,32.945512,-94.077662
McQueeney,4.092,10598711,29.600453,-98.047576
Madisonville,4.178,10822213,30.954018,-95.909285
Magnolia,4.845,12547418,30.213032,-95.7426
Magnolia Beach,1.021,2643496,28.560461,-96.549585
Malakoff,2.87,7432607,32.173308,-96.021029
Malone,0.457,1182354,31.91726,-96.894658
Manchaca,1.956,5065529,30.135234,-97.836436
Manor,9.805,25394391,30.354228,-97.558259
Mansfield,36.791,95289090,32.569188,-97.120532
Manuel Garcia,0.036,92232,26.333654,-98.701643
Manuel GarciaII,0.017,42997,26.312646,-98.691281
Manvel,27.321,70760853,29.485422,-95.362322
Marathon,5.261,13625025,30.220864,-103.236601
Marble Falls,16.489,42706032,30.560168,-98.277286
Marfa,1.623,4202785,30.310679,-104.025452
Marietta,0.578,1497574,33.173548,-94.542531
Marion,0.781,2022812,29.572568,-98.142941
Markham,2.249,5825472,28.962548,-96.063953
Marlin,4.517,11698660,31.308039,-96.89318
Marquez,1.312,3396774,31.236134,-96.257428
Marshall,29.758,77071776,32.539159,-94.353173
Mart,1.377,3565935,31.541472,-96.830553
Martindale,2.063,5344032,29.844954,-97.838296
Martinez,0.053,138292,26.422156,-98.75291
Mason,3.653,9461787,30.747713,-99.228603
Matador,1.304,3377820,34.015084,-100.821094
Matagorda,1.844,4774754,28.696451,-95.966602
Mathis,3.316,8588884,28.090918,-97.817048
Maud,1.491,3860614,33.329892,-94.346145
Mauriceville,8.411,21784042,30.231045,-93.871478
May,1.488,3853028,31.97976,-98.9247
Maypearl,0.757,1959959,32.311247,-97.006663
Meadow,1.608,4164511,33.337725,-102.205857
Meadowlakes,0.75,1942394,30.564223,-98.295075
Meadows Place,0.933,2417201,29.650922,-95.586909
Medina,1.773,4593332,26.935079,-99.264419
Megargel,0.61,1580812,33.453389,-98.929413
Melissa,11.46,29681662,33.288521,-96.557632
Melvin,0.464,1201014,31.199216,-99.581316
Memphis,2.244,5811643,34.726734,-100.541655
Menard,2.063,5343446,30.918441,-99.783678
Mentone,0.17,440389,31.707438,-103.598875
Mercedes,11.799,30559256,26.153818,-97.912907
Meridian,2.085,5400354,31.9266,-97.649091
Merkel,2.798,7246680,32.469731,-100.011096
Mertens,0.435,1125465,32.059022,-96.894167
Mertzon,1.519,3935390,31.261982,-100.820808
Mesquite,49.104,127179072,32.75955,-96.584164
Mesquite,0.05,128477,26.402434,-98.980938
Mexia,7.198,18641865,31.680693,-96.483203
Miami,1.169,3028642,35.692311,-100.641565
Midfield,0.462,1196653,28.940283,-96.213354
Midland,76.158,197249404,32.024642,-102.113467
Midlothian,63.725,165046259,32.469436,-96.99067
Midway,1.587,4110429,31.02512,-95.7565
Midway North,1.73,4481399,26.187036,-98.019052
Midway South,0.979,2534718,26.156844,-98.021414
Migue lBarrera,0.017,44729,26.412012,-98.921576
Mikes,0.131,339174,26.31466,-98.633612
MilaDoce,3.286,8510348,26.222444,-97.959936
Milam,33.147,85849471,31.448979,-93.785986
Milano,1.827,4732480,30.705313,-96.852687
Mildred,2.297,5949122,32.046271,-96.324898
Miles,1.702,4406949,31.60062,-100.185317
Milford,2.461,6374573,32.121506,-96.95001
Miller's Cove,0.164,424420,33.155283,-95.115167
Millsap,1.468,3801924,32.74991,-98.011469
Mineola,10.309,26699754,32.652881,-95.480296
Mineral Wells,20.399,52832599,32.823483,-98.078798
Mingus,1.554,4025759,32.536319,-98.424862
MiRanchito Estate,0.313,810905,26.38781,-98.873329
Mirando,0.318,823817,27.440095,-99.000621
Mission,36.332,94098203,26.20406,-98.325221
Mission Bend,4.766,12345077,29.693695,-95.666342
Missouri,29.02,75162239,29.562944,-95.535999
Mobeetie,0.61,1580938,35.533689,-100.441319
Mobile,0.015,39049,32.922832,-96.411149
Monahans,28.92,74901163,31.655721,-103.083694
Montague,1.276,3304591,33.66527,-97.720954
Mont Belvieu,17.791,46077450,29.849964,-94.874713
MonteAlto,2.249,5825318,26.374373,-97.972724
Montgomery,5.764,14927792,30.390385,-95.698168
Moody,1.393,3606916,31.306581,-97.358952
Moore,6.101,15800231,29.057906,-99.0058
Moore Station,1.262,3268060,32.190556,-95.570391
Moraida,0.041,106118,26.414844,-98.976744
Morales-Sanchez,1.406,3640367,26.787616,-99.114689
Moran,0.425,1099823,32.547234,-99.166492
Morgan,0.741,1920238,32.015936,-97.606093
Morgan Farm,3.338,8645371,28.005476,-97.553588
Morgan's Point,0.82,2122861,29.671756,-94.998151
Morgan's PointResort,3.047,7892527,31.154564,-97.459192
Morning Glory,1.073,2778021,31.564753,-106.208933
Morse,0.551,1428023,36.06596,-101.476925
Morton,1.505,3897781,33.72482,-102.75921
Mosheim,0.679,1758655,31.632585,-97.599711
Moulton,0.835,2163185,29.572206,-97.146552
Mound,0.716,1854041,31.350475,-97.643116
Mountain,0.526,1361301,30.039209,-97.891527
